trip_id,start_time,end_time,headway_secs,exact_times
10A-L02,05:00:00,22:00:00,2180,0
10A-R01,05:00:00,22:00:00,1200,0
10B-L01,05:00:00,22:00:00,600,0
10B-R01,05:00:00,22:00:00,1200,0
10B-R02,05:00:00,22:00:00,1200,0
10C-L02,05:00:00,22:00:00,1200,0
10C-R03,05:00:00,22:00:00,360,0
10C-R04,05:00:00,22:00:00,360,0
10D-R01,05:00:00,10:00:00,900,0
10D-R02,15:00:00,21:00:00,900,0
10H-L04,05:00:00,22:00:00,1400,0
10H-L05,05:00:00,22:00:00,1200,0
10H-R07,05:00:00,22:00:00,360,0
10H-R09,05:00:00,07:00:00,3600,0
10-P21,00:00:00,23:59:59,3600,0
10-P22,00:00:00,23:59:59,720,0
10-P23,00:00:00,23:59:59,1200,0
10-R01,00:00:00,23:59:59,180,0
10-R02,00:00:00,23:59:59,189,0
11B-R03,05:00:00,22:00:00,1200,0
11B-R04,05:00:00,22:00:00,1200,0
11C-L03,05:00:00,22:00:00,1380,0
11D-R04,05:00:00,22:00:00,1200,0
11D-R05,05:00:00,22:00:00,1200,0
11M-L03,05:00:00,22:00:00,360,0
11P-R01,05:00:00,22:00:00,1200,0
11P-R02,05:00:00,22:00:00,1200,0
11Q-L04,05:00:00,22:00:00,1100,0
11Q-R05,05:00:00,22:00:00,3600,0
11Q-R06,05:00:00,22:00:00,720,0
11-R02,00:00:00,23:59:59,300,0
11-R03,00:00:00,23:59:59,450,0
11R-L01,05:00:00,22:00:00,3600,0
11W-L02,05:00:00,22:00:00,720,0
11W-L03,05:00:00,22:00:00,1200,0
12A-L02,05:00:00,22:00:00,3600,0
12A-R03,05:00:00,22:00:00,3600,0
12B-R03,05:00:00,22:00:00,600,0
12B-R04,05:00:00,22:00:00,600,0
12C-L01,05:00:00,22:00:00,420,0
12C-R01,05:00:00,22:00:00,1860,0
12C-R02,05:00:00,22:00:00,1860,0
12F-L02,05:00:00,22:00:00,3600,0
12H-L02,05:00:00,22:00:00,3600,0
12-L01,00:00:00,23:59:59,3600,0
12-P03,00:00:00,23:59:59,3600,0
12P-L01,05:00:00,22:00:00,1380,0
12P-R01,05:00:00,22:00:00,1500,0
12P-R02,05:00:00,22:00:00,720,0
12-R01,00:00:00,23:59:59,900,0
12-R02,00:00:00,23:59:59,1000,0
12-R03,00:00:00,23:59:59,3600,0
12-R04,00:00:00,23:59:59,2300,0
13B-L01,05:00:00,22:00:00,300,0
13B-R02,05:00:00,22:00:00,1200,0
13E-L01,05:00:00,22:00:00,1200,0
13E-R03,05:00:00,22:00:00,1200,0
13E-R04,05:00:00,22:00:00,1200,0
13-L01,00:00:00,23:59:59,800,0
13-L02,00:00:00,23:59:59,800,0
13-L03,00:00:00,23:59:59,3600,0
13-L05,00:00:00,23:59:59,3600,0
13-L10,00:00:00,23:59:59,2700,0
13-P01,00:00:00,23:59:59,1200,0
13-P02,16:00:00,17:00:00,257,0
13-P05,08:00:00,11:00:00,1800,0
13-R01,07:00:00,09:00:00,1200,0
13-R02,00:00:00,23:59:59,800,0
14A-L02,05:00:00,22:00:00,800,0
14B-L02,05:00:00,22:00:00,1200,0
14B-R01,05:00:00,22:00:00,1500,0
14B-R02,05:00:00,22:00:00,1200,0
14-L04,00:00:00,23:59:59,450,0
14-R05,00:00:00,23:59:59,1200,0
14-R07,00:00:00,23:59:59,1200,0
1A-L03,05:00:00,22:00:00,3600,0
1A-L04,05:00:00,22:00:00,1200,0
1A-L06,05:00:00,22:00:00,1200,0
1A-L08,05:00:00,22:00:00,1200,0
1A-P04,06:00:00,07:00:00,1200,0
1A-R06,05:00:00,22:00:00,900,0
1A-R09,05:00:00,22:00:00,1000,0
1A-R11,05:00:00,22:00:00,815,0
1B-L02,05:00:00,22:00:00,1200,0
1C-R01,05:00:00,22:00:00,600,0
1C-R02,05:00:00,22:00:00,600,0
1E-R01,05:00:00,22:00:00,720,0
1E-R02,05:00:00,22:00:00,1200,0
1F-L01,05:00:00,22:00:00,600,0
1H-L01,05:00:00,22:00:00,700,0
1H-L02,05:00:00,22:00:00,3600,0
1H-R01,05:00:00,22:00:00,1800,0
1H-R02,05:00:00,22:00:00,3600,0
1M-R02,05:00:00,22:00:00,600,0
1M-R03,05:00:00,22:00:00,600,0
1N-P22,05:00:00,22:00:00,3600,0
1N-R01,05:00:00,22:00:00,1000,0
1N-R02,05:00:00,22:00:00,1000,0
1-P23,00:00:00,23:59:59,900,0
1-P28,00:00:00,23:59:59,900,0
1-P33,00:00:00,23:59:59,3400,0
1-P34,00:00:00,23:59:59,1000,0
1-P36,00:00:00,23:59:59,1200,0
1-P37,00:00:00,23:59:59,1800,0
1-P38,00:00:00,23:59:59,1200,0
1-P39,00:00:00,23:59:59,1200,0
